ds,yhat,yhat_lower,yhat_upper,y,cutoff
2021-03-01,561.0590402849864,529.916984132609,589.172710255224,583,2021-02-28
2021-03-02,559.0480734447555,529.189772713515,589.2876878773811,608,2021-02-28
2021-03-03,560.4238237003784,531.9591545037791,588.6022919467961,571,2021-02-28
2021-03-04,561.5006684717233,532.1748464007095,591.6430410456717,562,2021-02-28
2021-03-05,569.765033222518,540.941780295203,598.7380543552036,611,2021-02-28
2021-03-06,567.0408361603579,537.5951534087432,595.706535506119,549,2021-02-28
2021-03-07,567.5150018444424,537.129808852791,597.5634585402707,548,2021-02-28
2021-03-08,564.6984564134951,534.315866183872,593.4683470034978,546,2021-02-28
2021-03-09,563.0988676309917,533.3874352317391,590.7936404499092,540,2021-02-28
2021-03-10,564.8077592737046,537.2000176406837,594.024722099683,546,2021-02-28
2021-03-11,566.12663406161,535.6256868215266,593.983267164445,528,2021-02-28
2021-03-12,574.5311473102147,542.9077390095125,603.2530425487593,557,2021-02-28
2021-03-13,571.8369307751543,542.3569183171965,599.9987890916286,552,2021-02-28
2021-03-14,572.225424436178,542.8478498319496,602.7880558271205,591,2021-02-28
2021-03-15,569.2051182876904,540.1422002486189,599.7198719481238,554,2021-02-28
2021-03-16,567.2844585516823,534.6431862757913,595.9717736492208,556,2021-02-28
2021-03-17,568.5590412071706,537.4357907157677,597.4527498928519,531,2021-02-28
2021-03-18,569.3377227803345,537.3982956882465,598.1579234243741,557,2021-02-28
2021-03-19,577.1066888599416,548.7122143019951,606.3747973246927,503,2021-02-28
2021-03-20,573.6950807215311,544.9746613682369,603.2489864848516,533,2021-02-28
2021-03-21,573.3005413635697,544.8473373949017,602.3589088610755,522,2021-02-28
2021-03-22,569.4500891628812,541.4555060755819,599.3576631460996,566,2021-02-28
2021-03-23,566.672582151594,537.4202373079345,595.3338572605558,580,2021-02-28
2021-03-24,567.0854066358536,536.3993113747739,597.3053132962922,593,2021-02-28
2021-03-25,567.0200328890436,538.5765639395564,595.8986552524643,635,2021-02-28
2021-03-26,573.9854928045961,542.6839218427998,602.4440817351785,559,2021-02-28
2021-03-27,569.8333955545942,538.025530017514,598.778554333525,562,2021-02-28
2021-03-28,568.7828590414164,540.8160036625935,598.313637206926,577,2021-02-28
2021-03-29,564.3807821989687,534.3400821481567,595.0571063474513,571,2021-02-28
2021-03-30,561.1737378935579,532.1949783703274,589.8217414168566,593,2021-02-28
2021-03-31,561.2941363173494,532.422074465165,590.4219253269788,623,2021-02-28
2021-04-01,561.0853167481678,533.4336736402823,590.0337575751762,560,2021-02-28
2021-04-02,568.0646362307425,538.0129786806111,595.9979068040598,578,2021-02-28
2021-04-03,564.0881830289561,534.6942673384203,594.0535281996684,563,2021-02-28
2021-04-04,563.37550222038,533.7291838888945,592.0911323742113,549,2021-02-28
2021-04-05,559.4697655654264,529.9822412177564,588.7252177903372,539,2021-02-28
2021-04-06,556.9096697422519,527.3750025340285,583.7560964730077,575,2021-02-28
2021-04-07,557.8157143008349,526.3722901294327,586.7280387337235,591,2021-02-28
2021-04-08,558.515515716156,532.7666502813872,587.1835971905327,583,2021-02-28
2021-04-09,566.5072216627996,534.8296605434851,595.3523412641302,578,2021-02-28
2021-04-10,563.6246460797514,534.9321951026969,594.1266147419304,589,2021-02-28
2021-04-11,564.0625024442404,538.0913689440874,594.5778518147683,588,2021-02-28
2021-04-12,561.337155009586,530.9950257966144,590.6100079049677,558,2021-02-28
2021-04-13,559.9591576171397,531.3161436725075,589.7848610096651,563,2021-02-28
2021-04-14,562.0202152273589,531.3561008329151,588.4891367161989,551,2021-02-28
2021-04-15,563.8192070461156,533.6398507893276,594.2167138513186,560,2021-02-28
2021-04-16,572.826317034443,541.81412817061,601.5192385749388,577,2021-02-28
2021-04-17,570.848873701521,541.2483888982435,599.0883907081014,531,2021-02-28
2021-04-18,572.057258100494,543.5218576139224,601.7820498406402,595,2021-02-28
2021-04-19,569.946281955437,537.0557009056847,598.8601646123146,542,2021-02-28
2021-04-20,569.0082888636471,539.123549632293,598.2692294817974,532,2021-02-28
2021-04-21,571.3205986692351,544.5123288025209,600.9240101985226,530,2021-02-28
2021-04-22,573.1719208680887,543.4993627165163,602.3747382315468,557,2021-02-28
2021-04-23,582.0267722078536,552.0333092425243,612.3120902830459,532,2021-02-28
2021-04-24,579.6914924476355,548.5444680496792,609.128130765627,554,2021-02-28
2021-04-25,580.3402121723013,550.9710040569516,608.6664714226407,530,2021-02-28
2021-04-26,577.4761726205052,547.6003251544106,607.8698717729816,572,2021-02-28
2021-04-27,575.6046516157924,546.6831656013323,605.0906800936435,578,2021-02-28
2021-04-28,576.8201199325267,545.2172473462894,606.9931830208825,559,2021-02-28
2021-04-29,577.4322611712311,549.3964175791723,608.9882985854645,562,2021-02-28
2021-04-30,584.9299003115423,554.1109480132706,614.3207383385684,535,2021-02-28
2021-05-01,581.1464474303405,550.980154087396,611.2598918541793,534,2021-02-28
2021-05-02,580.2852251876143,551.4948197675741,608.6334206945377,573,2021-02-28
2021-05-03,575.8800965312205,544.6692193965963,604.614542776975,569,2021-02-28
