ds,yhat,yhat_lower,yhat_upper,y,cutoff
2021-03-06,572.9222950420859,543.217143044012,604.7290393940235,549,2021-03-05
2021-03-07,573.357250655906,544.4762361239161,602.7464685459536,548,2021-03-05
2021-03-08,570.8161505577677,541.9276511029142,601.4849832460237,546,2021-03-05
2021-03-09,569.5312862074962,538.8756677880756,599.0435097942952,540,2021-03-05
2021-03-10,570.4737780088066,540.5906644621253,600.8472916911352,546,2021-03-05
2021-03-11,571.4233161651902,540.7418775104388,597.2170928767414,528,2021-03-05
2021-03-12,580.2435516786315,549.986831784386,609.416420723983,557,2021-03-05
2021-03-13,576.7108569581776,545.7970421736444,606.393587299456,552,2021-03-05
2021-03-14,576.8061148762255,545.6349825909446,606.0955256669282,591,2021-03-05
2021-03-15,573.8339218581815,543.2467243278309,605.1167974653528,554,2021-03-05
2021-03-16,572.0313873037614,541.9563448896406,602.7103476370935,556,2021-03-05
2021-03-17,572.37704760768,542.5334694080576,602.654382949877,531,2021-03-05
2021-03-18,572.6605225289659,543.1081061861473,600.9753437298302,557,2021-03-05
2021-03-19,580.7577475465162,550.4354862509878,612.2565357344356,503,2021-03-05
2021-03-20,576.4595038514315,545.4663111589814,603.5857433245874,533,2021-03-05
2021-03-21,575.7629091203011,547.6886786696438,607.4675126284449,522,2021-03-05
2021-03-22,571.9902610071211,541.359162008154,603.6716793063258,566,2021-03-05
2021-03-23,569.3974239079881,539.2529748626978,599.3480653699547,580,2021-03-05
2021-03-24,568.9822872297561,542.4228696071348,596.8339991915839,593,2021-03-05
2021-03-25,568.5539343302471,539.341720620718,600.1260953965227,635,2021-03-05
2021-03-26,576.0073683483372,545.6042377238982,605.0458241989058,559,2021-03-05
2021-03-27,571.1515299783454,542.1329998152171,601.302512507542,562,2021-03-05
2021-03-28,570.0002842005154,539.8575407217531,599.4988929128549,577,2021-03-05
2021-03-29,565.8907818513726,537.5404067512507,596.1473209835639,571,2021-03-05
2021-03-30,563.0914002242084,531.6931303194905,593.832055960731,593,2021-03-05
2021-03-31,562.609803866778,533.649926138401,592.2141931843424,623,2021-03-05
2021-04-01,562.2617766092961,531.4438164048452,590.4695083650784,560,2021-03-05
2021-04-02,569.94568148373,540.4358543605075,598.610913722585,578,2021-03-05
2021-04-03,565.4702922982739,536.1158218490538,594.4689308429707,563,2021-03-05
2021-04-04,564.8456805832432,532.7337393180443,591.9343051021804,549,2021-03-05
2021-04-05,561.401568277676,534.1641481692161,590.2498765443235,539,2021-03-05
2021-04-06,559.3953524532803,532.1913580931368,591.4551109031514,575,2021-03-05
2021-04-07,559.8203428807412,530.710104198057,592.2359402221671,591,2021-03-05
2021-04-08,560.47486061198,533.1601339703603,589.6200083775987,583,2021-03-05
2021-04-09,569.2370489301215,536.1396600744287,598.8062875112868,578,2021-03-05
2021-04-10,565.8931327815361,535.6453144546899,595.7999835782977,589,2021-03-05
2021-04-11,566.4288005976709,537.0242787703484,596.7049893901163,588,2021-03-05
2021-04-12,564.1481071457739,535.1405478155094,591.8442016804564,558,2021-03-05
2021-04-13,563.28209035193,536.2144618012838,594.3536020574089,563,2021-03-05
2021-04-14,564.7976282656884,535.8545940034121,594.8365974732661,551,2021-03-05
2021-04-15,566.4671688061676,536.9477305370513,594.9623057291826,560,2021-03-05
2021-04-16,576.1441676168721,549.1526029299233,604.5630898774982,577,2021-03-05
2021-04-17,573.5919540571899,542.4829577675202,603.92147806875,531,2021-03-05
2021-04-18,574.775683521156,544.3353775410686,605.1514083987532,595,2021-03-05
2021-04-19,572.9817597993804,541.3518905641187,601.0598503114825,542,2021-03-05
2021-04-20,572.4269067059314,543.6414468412282,602.4257848870585,532,2021-03-05
2021-04-21,574.067402994426,544.7880130413569,605.194145344867,530,2021-03-05
2021-04-22,575.6691029721007,545.687122301437,603.8835955706057,557,2021-03-05
2021-04-23,585.0830701054996,555.2721623631306,615.8669419351552,532,2021-03-05
2021-04-24,582.0745380391559,550.5286966233103,611.7413828283794,554,2021-03-05
2021-04-25,582.6148541984157,553.8765086712393,612.7197824748094,530,2021-03-05
2021-04-26,580.0007893545705,550.3100831451703,611.1924286544667,572,2021-03-05
2021-04-27,578.4633947366086,547.7569041213001,610.0682812605448,578,2021-03-05
2021-04-28,578.9769257253187,550.2234248417353,608.3233769479081,559,2021-03-05
2021-04-29,579.3284620713906,549.7243774886509,609.0600432323309,562,2021-03-05
2021-04-30,587.3930617948297,556.682923803883,617.4687481958757,535,2021-03-05
2021-05-01,582.9621751199263,554.7313751685116,611.3194057637545,534,2021-03-05
2021-05-02,582.0349873088533,552.6274671123358,609.775212616481,573,2021-03-05
2021-05-03,577.937088856999,546.6632682387941,608.417903020126,569,2021-03-05
2021-05-04,574.9286707151851,542.4962491614058,605.3851656571615,567,2021-03-05
2021-05-05,574.012780220806,544.8673232371583,605.7680198656594,595,2021-03-05
2021-05-06,573.0042844507861,544.3634578783539,604.1970166887039,585,2021-03-05
2021-05-07,579.8043946015947,548.4758462865378,609.6356828578923,604,2021-03-05
2021-05-08,574.2284934399999,546.7063262321541,604.1046227845931,557,2021-03-05
2021-05-09,572.2969492015334,542.6854192412726,603.3018727097925,543,2021-03-05
2021-05-10,567.353327356113,537.3783308298658,598.6882235814087,578,2021-03-05
2021-05-11,563.6722089635346,534.1329165893675,591.5148289612794,568,2021-03-05
2021-05-12,562.2671601739895,533.3414490257553,590.7905584011781,549,2021-03-05
2021-05-13,560.9595060465358,530.8343397916182,592.3483420349803,546,2021-03-05
2021-05-14,567.652766178106,537.5025516491893,597.0823631031486,590,2021-03-05
2021-05-15,562.1604954120261,531.6383366030351,591.8206728014655,568,2021-03-05
2021-05-16,560.4972115484412,530.2083901030873,589.0120396243888,595,2021-03-05
2021-05-17,555.996817399364,525.5243950775038,585.6547198274468,582,2021-03-05
2021-05-18,552.9207193401762,523.9252028391669,583.5588083526587,588,2021-03-05
2021-05-19,552.2661780427675,522.7620578189533,581.1357141304038,624,2021-03-05
2021-05-20,551.8355336525083,521.000264903735,578.6705768618519,615,2021-03-05
2021-05-21,559.5111502626823,529.918700232334,588.3724084123999,602,2021-03-05
2021-05-22,555.0838089439486,524.416497878728,585.384496903768,548,2021-03-05
2021-05-23,554.5442162626457,529.1795470270409,584.2469373580186,586,2021-03-05
2021-05-24,551.2020200808851,522.2382043591764,582.4481523948583,560,2021-03-05
2021-05-25,549.2945191075466,519.4089813783369,577.5519998160158,569,2021-03-05
2021-05-26,549.795586501788,518.1690347988199,579.1452115734535,563,2021-03-05
2021-05-27,550.4854351226674,520.2687434703547,579.6476792374444,563,2021-03-05
2021-05-28,559.2260557192845,529.4434087608653,589.6714151767911,549,2021-03-05
2021-05-29,555.7900452307754,528.3182835916635,583.0498207509374,596,2021-03-05
2021-05-30,556.1524818255983,525.9172210468337,587.447139788845,598,2021-03-05
2021-05-31,553.6102302172908,523.8356498045256,581.9349173972862,574,2021-03-05
2021-06-01,552.3908577199487,520.8119334604258,581.5937216151592,546,2021-03-05
2021-06-02,553.4616777272294,524.4512231047978,582.3557250010525,565,2021-03-05
2021-06-03,554.5995470456738,526.0639002542351,581.8425548269877,589,2021-03-05
2021-06-04,566.2318636325513,535.7112732706627,595.2847868282522,548,2021-06-03
2021-06-05,561.5484860382318,532.2957730737767,590.73267366531,574,2021-06-03
2021-06-06,563.535428512659,534.1382055611505,594.0592948062853,545,2021-06-03
2021-06-07,559.8366628441356,528.156189231704,589.9755670306173,581,2021-06-03
2021-06-08,558.9616193805124,527.3677328576948,589.7953856919042,559,2021-06-03
2021-06-09,560.2484436133046,529.800832742189,590.2384457531807,568,2021-06-03
2021-06-10,561.025213850697,532.6429052145589,592.7534235960031,569,2021-06-03
2021-06-11,566.6562784744169,534.4338556390878,595.7283351352329,592,2021-06-03
2021-06-12,562.214077525196,531.2942134596649,591.8407589360673,568,2021-06-03
2021-06-13,564.4094224392721,533.2784942289622,592.97981326393,579,2021-06-03
2021-06-14,560.8860103174507,530.1242856733601,588.920942280616,549,2021-06-03
2021-06-15,560.1537545446512,528.771935426045,590.9059703618628,569,2021-06-03
2021-06-16,561.5519427635081,531.8553422121788,590.8688540842461,555,2021-06-03
2021-06-17,562.410344024513,532.8525900238734,592.8110811484734,576,2021-06-03
2021-06-18,568.0954282820371,537.4434944040419,599.8569076595722,598,2021-06-03
2021-06-19,563.6820676714539,532.8498682410145,594.0158230774774,577,2021-06-03
2021-06-20,565.8836979321612,535.8729393762852,596.3181855832939,584,2021-06-03
2021-06-21,562.3467205977825,531.8436067595313,592.4978860883195,614,2021-06-03
2021-06-22,561.5837315691372,532.4829424449846,593.4405346724578,597,2021-06-03
2021-06-23,562.9365903066107,532.509412917482,593.2606193943899,585,2021-06-03
2021-06-24,563.7374540339937,533.469004325405,593.235987377077,576,2021-06-03
2021-06-25,569.3549419567598,538.6312216116869,599.0409576027273,579,2021-06-03
2021-06-26,564.8657999793263,534.9158543835193,592.9039221696282,589,2021-06-03
2021-06-27,566.9850445366669,537.7907713005922,597.8167046900263,601,2021-06-03
2021-06-28,563.3603656230595,533.7244437584181,593.70142792273,585,2021-06-03
2021-06-29,562.5053733473663,531.993183043263,595.8604854936979,603,2021-06-03
2021-06-30,563.7627002834311,532.4038928601666,594.4196023305535,546,2021-06-03
2021-07-01,564.4650814493647,533.563889075835,592.9828506540834,586,2021-06-03
