horizon,mse,rmse,mae,mape,mdape,smape,coverage
9 days,419.2405214455598,20.475363768332905,17.26936101996541,0.03029515113144847,0.031172259467583254,0.03044530900463786,0.8888888888888888
10 days,412.6022891082254,20.312614039266965,16.950296422750498,0.029807397391465738,0.031172259467583254,0.02991959230369655,0.8888888888888888
11 days,434.86182150710596,20.853340775691215,18.35484726723088,0.03235874132622763,0.031172259467583254,0.03243396239940197,0.8888888888888888
12 days,488.3891701885642,22.099528732273097,20.21764823988629,0.03548489634268767,0.03882259503615761,0.03565181957054135,0.8888888888888888
13 days,414.68772461612565,20.363882847240248,18.12958945673054,0.03152593772360702,0.031172259467583254,0.03184049236268585,0.8888888888888888
14 days,388.18865765594984,19.70250384230263,17.49675452172082,0.030097329891473353,0.031172259467583254,0.030572234440549233,0.8888888888888888
15 days,309.6395971319181,17.596579131522073,15.565403528156443,0.026895620168953673,0.025805351043995162,0.02725654630578917,0.8888888888888888
16 days,187.58853660596918,13.696296455829554,12.109572225297383,0.021112097336191998,0.020215596280910395,0.02129419611550469,1.0
17 days,151.075610890853,12.291281905922302,10.174280310617227,0.01779051329932983,0.01612743824780172,0.01791786427804566,1.0
18 days,161.88821561730268,12.723529998286745,10.860543342014568,0.019037776143455445,0.0196877383777596,0.019139807970707627,1.0
19 days,195.74789412859445,13.990993321726462,12.044784381646878,0.020973288707084037,0.020215596280910395,0.02115324372355873,1.0
20 days,218.79010528190898,14.791555201597598,12.712672595498109,0.022235598876700558,0.020215596280910395,0.022376737906279493,1.0
21 days,163.27208767254768,12.777796667365923,10.655012331677792,0.018748202223943643,0.0196877383777596,0.01880703409787135,1.0
22 days,161.9209826137615,12.724817586659602,10.569124915073607,0.018587662229591833,0.0196877383777596,0.01864426704229857,1.0
23 days,135.53593200632295,11.64199003634357,9.611846344715635,0.016952963258174154,0.016475700484294344,0.0169698794165921,1.0
24 days,263.55939006252316,16.234512313664467,12.305370888118697,0.022173682345653513,0.016475700484294344,0.021924923611682804,0.8888888888888888
25 days,306.1787772796374,17.4979649468056,14.259887378402949,0.02572053322033652,0.0196877383777596,0.025403054466450928,0.8888888888888888
