horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,718.9250601173827,26.812777926156453,21.82921562500301,0.038109621820066115,0.031461443926518375,0.038355960301808226,0.7602739726027398
38 days,702.3845365526023,26.502538303955006,21.437680138024152,0.03746046414582975,0.031461443926518375,0.0376834438703835,0.7602739726027398
39 days,690.8646094868343,26.284303481105113,21.23170102544874,0.03712035403988546,0.031461443926518375,0.037329310407203116,0.7671232876712328
40 days,691.1740542737515,26.290189316050036,21.263712592266362,0.0371676751466672,0.031461443926518375,0.03737892049112361,0.7671232876712328
41 days,687.622937454372,26.22256542473242,21.35338221854166,0.03737686860664631,0.03147423215478401,0.03756086712927235,0.7808219178082192
42 days,680.2994163912284,26.082550036206744,21.275002566511617,0.0372851646848368,0.03176747134318453,0.037446707086571086,0.7945205479452054
43 days,676.1511987808798,26.00290750629398,21.081462315157065,0.03694129788896694,0.03147423215478401,0.03710329845026804,0.7945205479452054
44 days,668.5330359322854,25.85600580005128,20.734192298111033,0.03630867103193666,0.031461443926518375,0.03647887319263524,0.7945205479452054
45 days,685.6967442777454,26.185811888840593,20.941681354519048,0.03659448841174746,0.030446899327216878,0.03680615929009079,0.7808219178082192
46 days,677.4487484927103,26.02784563679273,20.679417874097794,0.0361287426755651,0.029296641871846576,0.0363392111088258,0.7808219178082192
47 days,676.2921234676904,26.00561715221714,20.64152965488414,0.035988917070902945,0.029296641871846576,0.03623704898927624,0.773972602739726
48 days,684.3860569142406,26.160773247636254,20.719047438240384,0.036155678904749924,0.029296641871846576,0.0363831661358487,0.7671232876712328
49 days,682.4002404613519,26.12279159012972,20.67867281522024,0.03605896709780253,0.028989014016318194,0.03629816044413769,0.7671232876712328
50 days,682.0501164559327,26.1160892259146,20.62094443883043,0.03600936102075368,0.028950806421819065,0.03622102314349698,0.7671232876712328
51 days,722.5993549445033,26.881208212141495,21.32912804704436,0.037257369323910855,0.029296641871846576,0.037472321786010857,0.7397260273972602
52 days,748.8836696590147,27.36573897520428,21.864735069886787,0.038302717681182825,0.030446899327216878,0.03846455114830597,0.726027397260274
53 days,745.2250855276395,27.298811064360287,21.868296235422008,0.03827127401043045,0.030446899327216878,0.038451786168698154,0.7328767123287672
54 days,777.1918337333753,27.878160515596708,22.46642893504174,0.039351313983017694,0.03216366463692212,0.0395048574815508,0.726027397260274
